31045 particles, 226 vloidsters
Zone# edgeflag CoreParticle CoreDens ZoneVol Zone#Part Void#Zones VoidVol Void#Part VoidDensContrast VoidProb
161 0 20707 2.384382e-01 3.969589e+01 36 1 3.969589e+01 36 1.153807 4.53e-01
162 0 20746 2.115179e-01 7.629284e+01 50 1 7.629284e+01 50 1.158315 4.43e-01
163 0 20884 2.236109e-01 6.010686e+01 61 1 6.010686e+01 61 1.214450 3.30e-01
164 0 21075 1.773088e-01 7.191872e+01 59 1 7.191872e+01 59 1.481868 7.65e-02
165 0 21173 3.143953e-01 3.438756e+01 61 1 3.438756e+01 61 1.286945 2.25e-01
166 0 21203 1.491523e-01 2.580808e+02 209 2 4.057872e+02 367 1.436510 9.89e-02
167 0 21412 3.792185e-01 2.925673e+01 52 1 2.925673e+01 52 1.044144 7.98e-01
168 0 21600 1.598741e-01 2.282122e+02 359 1 2.282122e+02 359 1.577676 4.37e-02
169 0 21682 2.280414e-01 1.134431e+02 147 1 1.134431e+02 147 1.028040 8.66e-01
170 0 21878 3.756427e-01 3.876357e+01 60 1 3.876357e+01 60 1.253192 2.69e-01
171 0 21925 2.313404e-01 4.666987e+01 95 1 4.666987e+01 95 1.012275 9.39e-01
172 0 22177 5.201632e-01 5.368899e+00 9 1 5.368899e+00 9 1.084116 6.50e-01
173 0 22251 1.594525e-01 8.172623e+01 87 1 8.172623e+01 87 1.309411 1.99e-01
174 0 22385 7.899343e-02 6.196355e+02 531 11 3.040621e+03 2574 2.612895 1.23e-05
175 0 22405 1.358636e-01 1.010084e+02 77 4 5.885218e+02 531 1.716097 1.87e-02
176 0 22457 2.560102e-01 4.948129e+01 60 1 4.948129e+01 60 1.482769 7.61e-02
177 0 22496 2.107766e-01 9.825658e+01 105 1 9.825658e+01 105 1.028880 8.63e-01
178 0 22622 1.661723e-01 2.643254e+02 321 1 2.643254e+02 321 1.308223 2.00e-01
179 0 22654 2.668468e-01 6.150044e+01 98 1 6.150044e+01 98 1.455061 8.91e-02
180 0 23071 2.116259e-01 9.944652e+01 109 1 9.944652e+01 109 1.419029 1.09e-01
181 0 23142 2.891162e-01 4.090856e+01 66 1 4.090856e+01 66 1.263895 2.54e-01
182 0 23149 2.191886e-01 1.071833e+02 143 1 1.071833e+02 143 1.492314 7.20e-02
183 0 23645 2.191968e-01 1.441643e+02 172 1 1.441643e+02 172 1.000413 9.98e-01
184 0 23930 1.961651e-01 2.942328e+02 323 1 2.942328e+02 323 1.281157 2.32e-01
