# 31045 non-edge tracers in halo_pos_00, 225 voids
# VoidID CoreParticle CoreDens Zone#Parts Void#Zones Void#Parts VoidVol(Mpc/h^3) VoidDensRatio
224 30581 0.283221 87 1 87 64183.978282 1.042547
189 24715 0.283684 48 1 48 43315.042335 1.284652
147 18844 0.283935 24 1 24 33742.047139 1.027277
146 18748 0.285402 15 1 15 16476.240152 1.095243
181 23142 0.289116 66 1 66 43178.988374 1.263895
195 25460 0.293329 47 1 47 41484.984630 1.005282
142 18481 0.294072 42 1 42 35277.018686 1.062329
42 4785 0.297287 28 1 28 28101.792469 1.081365
190 24731 0.298791 84 1 84 66352.102107 1.152327
133 16649 0.304009 35 1 35 28057.957551 1.093235
25 3332 0.308938 78 1 78 47407.195037 1.056281
165 21173 0.314395 61 1 61 36296.072349 1.286945
204 26395 0.316685 44 1 44 34478.195115 1.221031
70 8321 0.320090 13 1 13 11623.631307 1.268190
203 26220 0.322243 20 1 20 25612.944389 1.135388
106 13021 0.324202 60 1 60 30949.014491 1.046468
199 25874 0.325044 51 1 51 39177.207589 1.075346
138 18132 0.331823 26 1 26 17336.757703 1.245817
185 24325 0.334699 16 1 16 14073.848084 1.237292
75 8972 0.334775 19 1 19 21465.958458 1.022214
200 26049 0.340090 68 1 68 46716.074694 1.018101
79 9655 0.350887 41 1 41 25679.440894 1.057066
223 30453 0.365522 20 1 20 21437.407181 1.114595
202 26186 0.370235 30 1 30 22216.176250 1.087771
170 21878 0.375643 60 1 60 40914.951257 1.253192
167 21412 0.379219 52 1 52 30880.480871 1.044144
24 3312 0.382663 40 1 40 33017.921309 1.000486
188 24497 0.384730 22 1 22 19500.743968 1.012175
155 19529 0.384927 54 1 54 30401.600484 1.123828
201 26106 0.389859 13 1 13 8439.787088 1.045511
48 5217 0.391372 83 1 83 41275.256764 1.266337
198 25819 0.398010 26 1 26 23579.217389 1.294610
12 1625 0.400643 21 1 21 17743.009129 1.008234
2 188 0.407051 41 1 41 25006.971238 1.148423
39 4492 0.411045 18 1 18 11267.832785 1.023922
131 16214 0.424232 52 1 52 24155.921523 1.108199
47 5192 0.430365 46 1 46 15740.999906 1.125824
140 18389 0.455309 7 1 7 5864.384835 1.100996
172 22177 0.520163 9 1 9 5666.873327 1.084116
69 8017 0.520409 8 1 8 7046.334881 1.002123
153 19355 0.554853 19 1 19 8923.375005 1.047254
